Date,Time,Open,High,Low,Close,Volume,OI
04/14/1980,00:00,0.0,104.42,99.97,100.55,149110000,0
04/21/1980,00:00,0.0,105.57,98.95,105.16,182480000,0
04/28/1980,00:00,0.0,106.86,104.5,105.58,149910000,0
05/05/1980,00:00,0.0,108.12,104.18,104.72,186410000,0
05/12/1980,00:00,0.0,107.99,103.5,107.35,177350000,0
05/19/1980,00:00,0.0,111.37,106.51,110.62,184430000,0
05/26/1980,00:00,0.0,112.72,108.87,111.24,156210000,0
06/02/1980,00:00,0.0,114.38,109.77,113.2,196340000,0
06/09/1980,00:00,0.0,117.01,112.68,115.81,211830000,0
06/16/1980,00:00,0.0,117.16,113.12,114.06,194950000,0
06/23/1980,00:00,0.0,117.98,113.35,116.0,196630000,0
06/30/1980,00:00,0.0,117.8,113.54,117.46,154430000,0
07/07/1980,00:00,0.0,119.52,116.29,117.84,222420000,0
07/14/1980,00:00,0.0,123.19,117.45,122.04,262450000,0
07/21/1980,00:00,0.0,123.9,119.94,120.78,219540000,0
07/28/1980,00:00,0.0,123.93,119.4,121.21,239280000,0
08/04/1980,00:00,0.0,125.23,119.42,123.61,252790000,0
08/11/1980,00:00,0.0,126.61,122.49,125.72,236570000,0
08/18/1980,00:00,0.0,127.78,121.91,126.02,235360000,0
08/25/1980,00:00,0.0,126.29,121.06,122.38,194500000,0
09/01/1980,00:00,0.0,127.7,121.79,124.88,184680000,0
09/08/1980,00:00,0.0,126.75,121.94,125.54,229890000,0
09/15/1980,00:00,0.0,130.38,124.09,129.25,283080000,0
09/22/1980,00:00,0.0,132.17,125.29,126.35,273360000,0
09/29/1980,00:00,0.0,130.44,122.87,129.33,229090000,0
10/06/1980,00:00,0.0,132.88,129.35,130.29,235040000,0
10/13/1980,00:00,0.0,135.88,129.37,131.52,237820000,0
10/20/1980,00:00,0.0,134.01,128.04,129.85,225440000,0
10/27/1980,00:00,0.0,129.94,125.29,127.47,191100000,0
11/03/1980,00:00,0.0,135.65,127.23,129.18,208860000,0
11/10/1980,00:00,0.0,138.96,128.19,137.15,276710000,0
11/17/1980,00:00,0.0,141.76,134.9,139.11,306000000,0
11/24/1980,00:00,0.0,141.96,136.36,140.52,196540000,0
12/01/1980,00:00,0.0,140.66,132.91,134.03,247110000,0
12/08/1980,00:00,0.0,133.19,125.32,129.23,256220000,0
12/15/1980,00:00,0.0,135.9,128.33,133.7,252470000,0
12/22/1980,00:00,0.0,137.48,132.88,136.57,152830000,0
12/29/1980,00:00,0.0,137.51,134.04,136.34,145890000,0
01/05/1981,00:00,0.0,140.32,131.71,133.48,324540000,0
01/12/1981,00:00,0.0,135.91,131.69,134.77,213940000,0
01/19/1981,00:00,0.0,135.86,129.0,130.23,194510000,0
01/26/1981,00:00,0.0,132.41,128.57,129.55,193660000,0
02/02/1981,00:00,0.0,131.81,125.82,130.6,226680000,0
02/09/1981,00:00,0.0,131.39,126.04,126.98,184980000,0
02/16/1981,00:00,0.0,129.25,124.66,126.58,161880000,0
02/23/1981,00:00,0.0,132.02,125.69,131.27,242770000,0
03/02/1981,00:00,0.0,132.96,128.56,129.85,233020000,0
03/09/1981,00:00,0.0,135.53,128.72,133.11,273110000,0
03/16/1981,00:00,0.0,136.09,132.1,134.08,296020000,0
03/23/1981,00:00,0.0,138.38,133.41,134.65,287900000,0
03/30/1981,00:00,0.0,137.72,133.51,135.49,240610000,0
04/06/1981,00:00,0.0,136.23,132.59,134.51,253380000,0
04/13/1981,00:00,0.0,135.82,131.58,134.7,207200000,0
04/20/1981,00:00,0.0,136.38,132.72,135.14,296160000,0
